command: mount

/dev/block/sda25 on / type ext4 (ro,seclabel,noatime,i_version)
tmpfs on /dev type tmpfs (rw,seclabel,nosuid,noatime,mode=755)
devpts on /dev/pts type devpts (rw,seclabel,noatime,mode=600,ptmxmode=000)
proc on /proc type proc (rw,noatime,gid=3009,hidepid=2)
sysfs on /sys type sysfs (rw,seclabel,noatime)
selinuxfs on /sys/fs/selinux type selinuxfs (rw,noatime)
tmpfs on /mnt type tmpfs (rw,seclabel,nosuid,nodev,noexec,noatime,mode=755,gid=1000)
tmpfs on /mnt/installer type tmpfs (rw,seclabel,nosuid,nodev,noexec,noatime,mode=755,gid=1000)
tmpfs on /mnt/androidwritable type tmpfs (rw,seclabel,nosuid,nodev,noexec,noatime,mode=755,gid=1000)
/dev/block/sda26 on /vendor type ext4 (ro,seclabel,noatime,errors=remount-ro,i_version)
tmpfs on /apex type tmpfs (rw,seclabel,nosuid,nodev,noexec,noatime,mode=755)
tmpfs on /bootstrap-apex type tmpfs (rw,seclabel,nosuid,nodev,noexec,noatime,mode=755)
tmpfs on /linkerconfig type tmpfs (rw,seclabel,nosuid,nodev,noexec,noatime,mode=755)
none on /dev/blkio type cgroup (rw,nosuid,nodev,noexec,noatime,blkio)
none on /sys/fs/cgroup type cgroup2 (rw,nosuid,nodev,noexec,noatime)
none on /dev/cpuctl type cgroup (rw,nosuid,nodev,noexec,noatime,cpu)
none on /dev/cpuset type cgroup (rw,nosuid,nodev,noexec,noatime,cpuset,noprefix,cpuset_v2_mode)
none on /dev/stune type cgroup (rw,nosuid,nodev,noexec,noatime,schedtune)
tracefs on /sys/kernel/tracing type tracefs (rw,seclabel,noatime,gid=3012)
/dev/block/loop0 on /bootstrap-apex/com.android.virt@3 type ext4 (ro,dirsync,seclabel,nodev,noatime,i_version)
/dev/block/loop1 on /bootstrap-apex/com.android.vndk.v30@1 type ext4 (ro,dirsync,seclabel,nodev,noatime,i_version)
/dev/block/loop4 on /bootstrap-apex/com.android.i18n@1 type ext4 (ro,dirsync,seclabel,nodev,noatime,i_version)
